,historical_consistency,fan_influence,controversy_gra,stability,fairness
rank,0.0,-0.7696969696969697,0.6440245314738214,5.01803390396086,0.7254545454572909
percent,0.0,-0.8666666666666665,0.6948527647346723,11.505542498938102,0.8200594762572089
