Week,Contestant,Min Vote,Max Vote,Range,Certainty
1,Jamie Anderson,0.05465629796783648,0.05465629796783648,0.0,1.0
1,Johnny Damon,0.059418272672442755,0.059418272672442755,0.0,1.0
1,Kareem Abdul-Jabbar,0.07413632269176203,0.07413632269176203,0.0,1.0
1,Arike Ogunbowale,0.056529277393765454,0.056529277393765454,0.0,1.0
1,Jennie Finch Daigle,0.0947243355105469,0.0947243355105469,0.0,1.0
1,Chris Mazdzer,0.07067407908853868,0.07067407908853868,0.0,1.0
1,Mirai Nagasu,0.06607208782456309,0.06607208782456309,0.0,1.0
1,Tonya Harding,0.17102787490130217,0.17102787490130217,0.0,1.0
1,Josh Norman,0.1726682264131812,0.1726682264131812,0.0,1.0
1,Adam Rippon,0.18009322553606133,0.18009322553606133,0.0,1.0
1,Jamie Anderson,0.0,0.05465629796783648,0.05465629796783648,0.9453437020321636
1,Johnny Damon,0.059418272672442755,0.5297091363362214,0.47029086366377865,0.5297091363362214
1,Kareem Abdul-Jabbar,0.06672269042258583,0.07413632269176203,0.0074136322691761986,0.9925863677308238
1,Arike Ogunbowale,0.050876349654388905,0.056529277393765454,0.005652927739376548,0.9943470722606235
1,Jennie Finch Daigle,0.0520983845308008,0.0947243355105469,0.042625950979746106,0.9573740490202539
1,Chris Mazdzer,0.049471855361977075,0.07067407908853868,0.021202223726561602,0.9787977762734384
1,Mirai Nagasu,0.039643252694737854,0.06607208782456309,0.02642883512982523,0.9735711648701748
1,Tonya Harding,0.05130836247039067,0.17102787490130217,0.1197195124309115,0.8802804875690885
1,Josh Norman,0.04316705660329531,0.1726682264131812,0.12950116980988588,0.8704988301901141
1,Adam Rippon,0.04502330638401533,0.18009322553606133,0.135069919152046,0.864930080847954
2,Kareem Abdul-Jabbar,0.0,0.09475308340822468,0.09475308340822468,0.9052469165917754
2,Arike Ogunbowale,0.07419233760798412,1.0,0.9258076623920158,0.07419233760798416
2,Jennie Finch Daigle,0.10669669696698313,1.0,0.8933033030330169,0.10669669696698314
2,Chris Mazdzer,0.08331128077483325,1.0,0.9166887192251667,0.0833112807748333
2,Mirai Nagasu,0.08008178079084963,1.0,0.9199182192091504,0.0800817807908496
2,Tonya Harding,0.1836134977759878,1.0,0.8163865022240122,0.1836134977759878
2,Josh Norman,0.16904133466125812,1.0,0.8309586653387419,0.16904133466125815
2,Adam Rippon,0.20830998801387923,1.0,0.7916900119861208,0.20830998801387923
2,Kareem Abdul-Jabbar,0.09475308340822468,0.09475308340822468,0.0,1.0
2,Arike Ogunbowale,0.07419233760798412,0.07419233760798412,0.0,1.0
2,Jennie Finch Daigle,0.10669669696698313,0.10669669696698313,0.0,1.0
2,Chris Mazdzer,0.08331128077483325,0.08331128077483325,0.0,1.0
2,Mirai Nagasu,0.08008178079084963,0.08008178079084963,0.0,1.0
2,Tonya Harding,0.1836134977759878,0.1836134977759878,0.0,1.0
2,Josh Norman,0.16904133466125812,0.16904133466125812,0.0,1.0
2,Adam Rippon,0.20830998801387923,0.20830998801387923,0.0,1.0
3,Jennie Finch Daigle,0.0,0.1131173695130643,0.1131173695130643,0.8868826304869357
3,Chris Mazdzer,0.09416002377531477,1.0,0.9058399762246853,0.09416002377531474
3,Mirai Nagasu,0.08468135895513605,1.0,0.9153186410448639,0.08468135895513607
3,Tonya Harding,0.21919805083663632,1.0,0.7808019491633637,0.21919805083663635
3,Josh Norman,0.22926261723539001,1.0,0.77073738276461,0.22926261723539
3,Adam Rippon,0.2595805796844586,1.0,0.7404194203155414,0.2595805796844586
3,Jennie Finch Daigle,0.1131173695130643,0.1131173695130643,0.0,1.0
3,Chris Mazdzer,0.09416002377531477,0.09416002377531477,0.0,1.0
3,Mirai Nagasu,0.08468135895513605,0.08468135895513605,0.0,1.0
3,Tonya Harding,0.21919805083663632,0.21919805083663632,0.0,1.0
3,Josh Norman,0.22926261723539001,0.22926261723539001,0.0,1.0
3,Adam Rippon,0.2595805796844586,0.2595805796844586,0.0,1.0
3,Jennie Finch Daigle,0.1131173695130643,0.1131173695130643,0.0,1.0
3,Chris Mazdzer,0.09416002377531477,0.09416002377531477,0.0,1.0
3,Mirai Nagasu,0.08468135895513605,0.08468135895513605,0.0,1.0
3,Tonya Harding,0.21919805083663632,0.21919805083663632,0.0,1.0
3,Josh Norman,0.22926261723539001,0.22926261723539001,0.0,1.0
3,Adam Rippon,0.2595805796844586,0.2595805796844586,0.0,1.0
4,Tonya Harding,0.0,0.33037636072405835,0.33037636072405835,0.6696236392759416
4,Josh Norman,0.32452843093468176,1.0,0.6754715690653182,0.32452843093468176
4,Adam Rippon,0.3450952083412598,1.0,0.6549047916587403,0.34509520834125973
4,Tonya Harding,0.33037636072405835,0.33037636072405835,0.0,1.0
4,Josh Norman,0.32452843093468176,0.32452843093468176,0.0,1.0
4,Adam Rippon,0.3450952083412598,0.3450952083412598,0.0,1.0
