,historical_consistency,fan_influence,controversy_gra,stability,fairness
rank,0.0,-0.8461538461538461,0.6432477179981333,8.116067357618284,0.7303465765039276
percent,0.0,-0.9065934065934067,0.6396300902865992,29.124900966033277,0.865294549632476
